"","date","MTR_NUMBER","conload","imp"
"547",2021-04-20,"USS 0009075",576,7.42
"548",2021-04-20,"USS 0009076",576,5.5
"549",2021-04-20,"USS 0015695",576,2.48
"550",2021-04-20,"USS 0017113",192,2.16
"551",2021-04-20,"USS 0017137",768,0
"552",2021-04-20,"USS 0017138",576,2.74
"553",2021-04-20,"USS 0020686",192,0
"554",2021-04-20,"USS 0020707",768,44.7
"555",2021-04-20,"UST 0000711",1248,26.16
"556",2021-04-20,"UST 0000712",1248,18.82
"557",2021-04-20,"UST 0000713",1248,17.38
"558",2021-04-20,"UST 0002019",1248,17
"559",2021-04-20,"UST 0002020",1248,14.18
"560",2021-04-20,"UST 0002021",NA,385.38
"561",2021-04-21,"USS 0004903",384,10
"562",2021-04-21,"USS 0004927",384,10.7
"563",2021-04-21,"USS 0004949",384,3.7
"564",2021-04-21,"USS 0004966",384,5.36
"565",2021-04-21,"USS 0005019",576,2.6
"566",2021-04-21,"USS 0008953",576,8.1
"567",2021-04-21,"USS 0008983",576,10.26
"568",2021-04-21,"USS 0009044",576,6.18
"569",2021-04-21,"USS 0009063",576,3.8
"570",2021-04-21,"USS 0009067",576,2.82
"571",2021-04-21,"USS 0009070",576,0.94
"572",2021-04-21,"USS 0009072",576,5.4
"573",2021-04-21,"USS 0009073",576,5.56
"574",2021-04-21,"USS 0009074",576,5.58
"575",2021-04-21,"USS 0009075",576,7.48
"576",2021-04-21,"USS 0009076",576,5.56
"577",2021-04-21,"USS 0015695",576,2.46
